repository_id,repository_name,repository_type,repository_url,organisation_name,organisation_country,metadata_record_count,full_text_record_count
3596,KITopen,institutional,https://www.bibliothek.kit.edu/cms/kitopen.php,Karlsruher Institut für Technologie (KIT),de,25808,0
3597,Repositorio Universidad de Concepción,institutional,http://repositorio.udec.cl/,Universidad de Concepción,cl,1318,0
3598,Masinde Muliro University of Science and Technology Digital Repository,institutional,http://ir-library.mmust.ac.ke/,Masinde Muliro University of Science and Technology,ke,147,0
3599,Taibah University Digital Repository,institutional,http://repository.taibahu.edu.sa/,Taibah University,sa,6553,0
3600,Indonesian Institute of the Art Yogyakarta,institutional,http://digilib.isi.ac.id/,Indonesian Institute of the Art Yogyakarta,id,7482,5312
3601,Electronic Odessa National Economic University Institutional Repository,institutional,http://dspace.oneu.edu.ua/,Odessa National Economic University,ua,6771,0
3602,E-Library on Disaster Management,governmental,http://kmp.dmic.org.bd/,"Government of Bangladesh, Department of Disaster Management",bd,1038,0
3603,DAFWA Research Library,governmental,http://researchlibrary.agric.wa.gov.au/,"Government of Western Australia, Department of Agriculture and Food, Western Australia",au,4488,0
3604,NLR Reports Repository,institutional,https://reports.nlr.nl,Netherlands Aerospace Centre,nl,1307,0
3605,Corpus Innovationis Europaensis,institutional,http://corpus.hist-lab.ru/,Federal State Autonomous Educational Institution of Higher Professional Education Ural Federal University named after the first President of Russia B.N.Yeltsin,ru,687,0
3606,Milligan Digital Repository,institutional,https://mcstor.library.milligan.edu/,Milligan University,us,3131,0
3607,Najran University's Repository,institutional,http://repository.nu.edu.sa/,Najran University,sa,2387,0
3608,DSpace University of Palestine,institutional,http://dspace.up.edu.ps/jspui,University of Palestine,ps,376,0
3609,Repository UIN Sumatera Utara,institutional,http://repository.uinsu.ac.id/,Universitas Islam Negeri Sumatera Utara,id,2833,0
3610,BCAM's Institutional Repository Data,institutional,https://bird.bcamath.org/,Basque Center for Applied Mathematics,es,759,0
3611,Dspace@ESOGU,institutional,http://openaccess.ogu.edu.tr:8080/xmlui/,Eskişehir Osmangazi Üniversitesi,tr,693,0
